[-1.]	[0.46927714]
[-0.99331104]	[0.50159187]
[-0.98662207]	[0.53538954]
[-0.97993311]	[0.47295008]
[-0.97324415]	[0.45028219]
[-0.96655518]	[0.48446676]
[-0.95986622]	[0.40611394]
[-0.95317726]	[0.37246203]
[-0.94648829]	[0.4025798]
[-0.93979933]	[0.32490782]
[-0.93311037]	[0.38135184]
[-0.9264214]	[0.43259912]
[-0.91973244]	[0.37257883]
[-0.91304348]	[0.37777877]
[-0.90635452]	[0.32139211]
[-0.89966555]	[0.30790911]
[-0.89297659]	[0.39417913]
[-0.88628763]	[0.29780605]
[-0.87959866]	[0.32394124]
[-0.8729097]	[0.26461325]
[-0.86622074]	[0.21691256]
[-0.85953177]	[0.23522134]
[-0.85284281]	[0.30610263]
[-0.84615385]	[0.24974455]
[-0.83946488]	[0.25293793]
[-0.83277592]	[0.16623702]
[-0.82608696]	[0.20872757]
[-0.81939799]	[0.18436704]
[-0.81270903]	[0.15647004]
[-0.80602007]	[0.11089955]
[-0.7993311]	[0.19006877]
[-0.79264214]	[0.16819238]
[-0.78595318]	[0.05588506]
[-0.77926421]	[0.16702675]
[-0.77257525]	[0.05022321]
[-0.76588629]	[0.13690216]
[-0.75919732]	[0.11135568]
[-0.75250836]	[0.15871602]
[-0.7458194]	[-0.01978273]
[-0.73913043]	[-0.01510969]
[-0.73244147]	[0.09694941]
[-0.72575251]	[0.13477419]
[-0.71906355]	[-0.0071923]
[-0.71237458]	[0.10263038]
[-0.70568562]	[-0.0303216]
[-0.69899666]	[-0.01027522]
[-0.69230769]	[-0.08224159]
[-0.68561873]	[0.07836576]
[-0.67892977]	[-0.03936063]
[-0.6722408]	[-0.07435846]
[-0.66555184]	[-0.02180973]
[-0.65886288]	[-0.03956127]
[-0.65217391]	[-0.03420013]
[-0.64548495]	[-0.08111941]
[-0.63879599]	[-0.15933499]
[-0.63210702]	[-0.04502896]
[-0.62541806]	[-0.06380184]
[-0.6187291]	[-0.19890189]
[-0.61204013]	[-0.0452823]
[-0.60535117]	[-0.18612148]
[-0.59866221]	[-0.10472201]
[-0.59197324]	[-0.16095348]
[-0.58528428]	[-0.21585263]
[-0.57859532]	[-0.14603555]
[-0.57190635]	[-0.27790487]
[-0.56521739]	[-0.25830213]
[-0.55852843]	[-0.23529907]
[-0.55183946]	[-0.1316514]
[-0.5451505]	[-0.20008935]
[-0.53846154]	[-0.13088907]
[-0.53177258]	[-0.18142605]
[-0.52508361]	[-0.22958483]
[-0.51839465]	[-0.27858547]
[-0.51170569]	[-0.25656479]
[-0.50501672]	[-0.23979794]
[-0.49832776]	[-0.21364985]
[-0.4916388]	[-0.34242952]
[-0.48494983]	[-0.15873337]
[-0.47826087]	[-0.25005484]
[-0.47157191]	[-0.3067013]
[-0.46488294]	[-0.31581474]
[-0.45819398]	[-0.2873654]
[-0.45150502]	[-0.34048219]
[-0.44481605]	[-0.36593835]
[-0.43812709]	[-0.30049891]
[-0.43143813]	[-0.31600218]
[-0.42474916]	[-0.41954777]
[-0.4180602]	[-0.29748846]
[-0.41137124]	[-0.30391008]
[-0.40468227]	[-0.3196258]
[-0.39799331]	[-0.31081582]
[-0.39130435]	[-0.35411174]
[-0.38461538]	[-0.3333113]
[-0.37792642]	[-0.34359548]
[-0.37123746]	[-0.31562605]
[-0.36454849]	[-0.30959554]
[-0.35785953]	[-0.36549426]
[-0.35117057]	[-0.41719283]
[-0.34448161]	[-0.2512445]
[-0.33779264]	[-0.36133061]
[-0.33110368]	[-0.39213419]
[-0.32441472]	[-0.41695814]
[-0.31772575]	[-0.47457914]
[-0.31103679]	[-0.39820812]
[-0.30434783]	[-0.40860549]
[-0.29765886]	[-0.36016805]
[-0.2909699]	[-0.4162597]
[-0.28428094]	[-0.47551932]
[-0.27759197]	[-0.32527087]
[-0.27090301]	[-0.36768299]
[-0.26421405]	[-0.37176779]
[-0.25752508]	[-0.44614583]
[-0.25083612]	[-0.39800955]
[-0.24414716]	[-0.39302123]
[-0.23745819]	[-0.35167811]
[-0.23076923]	[-0.3903658]
[-0.22408027]	[-0.46371246]
[-0.2173913]	[-0.40763296]
[-0.21070234]	[-0.41551263]
[-0.20401338]	[-0.41673239]
[-0.19732441]	[-0.41390035]
[-0.19063545]	[-0.50027226]
[-0.18394649]	[-0.44924768]
[-0.17725753]	[-0.36655183]
[-0.17056856]	[-0.55914574]
[-0.1638796]	[-0.43930515]
[-0.15719064]	[-0.50802515]
[-0.15050167]	[-0.49606555]
[-0.14381271]	[-0.53667934]
[-0.13712375]	[-0.58091255]
[-0.13043478]	[-0.50410562]
[-0.12374582]	[-0.43840544]
[-0.11705686]	[-0.44046509]
[-0.11036789]	[-0.51617788]
[-0.10367893]	[-0.53881841]
[-0.09698997]	[-0.38270782]
[-0.090301]	[-0.54819892]
[-0.08361204]	[-0.5282041]
[-0.07692308]	[-0.42101961]
[-0.07023411]	[-0.40499539]
[-0.06354515]	[-0.42320368]
[-0.05685619]	[-0.50213735]
[-0.05016722]	[-0.44245576]
[-0.04347826]	[-0.45971833]
[-0.0367893]	[-0.5285916]
[-0.03010033]	[-0.54760145]
[-0.02341137]	[-0.53023055]
[-0.01672241]	[-0.5694924]
[-0.01003344]	[-0.4929072]
[-0.00334448]	[-0.51101967]
[0.00334448]	[-0.55235782]
[0.01003344]	[-0.47536965]
[0.01672241]	[-0.53334516]
[0.02341137]	[-0.54136887]
[0.03010033]	[-0.50855934]
[0.0367893]	[-0.51386467]
[0.04347826]	[-0.5369582]
[0.05016722]	[-0.51354863]
[0.05685619]	[-0.53604455]
[0.06354515]	[-0.43343349]
[0.07023411]	[-0.50545827]
[0.07692308]	[-0.53552885]
[0.08361204]	[-0.49218312]
[0.090301]	[-0.46821293]
[0.09698997]	[-0.51462347]
[0.10367893]	[-0.47740333]
[0.11036789]	[-0.54423091]
[0.11705686]	[-0.4905045]
[0.12374582]	[-0.47575189]
[0.13043478]	[-0.58135163]
[0.13712375]	[-0.49538072]
[0.14381271]	[-0.51804817]
[0.15050167]	[-0.51921755]
[0.15719064]	[-0.47948814]
[0.1638796]	[-0.50330389]
[0.17056856]	[-0.47011325]
[0.17725753]	[-0.59253564]
[0.18394649]	[-0.42917128]
[0.19063545]	[-0.45885773]
[0.19732441]	[-0.39984975]
[0.20401338]	[-0.45718429]
[0.21070234]	[-0.46853192]
[0.2173913]	[-0.44744901]
[0.22408027]	[-0.47106701]
[0.23076923]	[-0.4069685]
[0.23745819]	[-0.45016781]
[0.24414716]	[-0.39088177]
[0.25083612]	[-0.49182513]
[0.25752508]	[-0.42926597]
[0.26421405]	[-0.4932056]
[0.27090301]	[-0.38269777]
[0.27759197]	[-0.40321016]
[0.28428094]	[-0.41400712]
[0.2909699]	[-0.4240304]
[0.29765886]	[-0.27336384]
[0.30434783]	[-0.36132556]
[0.31103679]	[-0.46206029]
[0.31772575]	[-0.39109916]
[0.32441472]	[-0.44250994]
[0.33110368]	[-0.29114471]
[0.33779264]	[-0.36501784]
[0.34448161]	[-0.43049046]
[0.35117057]	[-0.32821016]
[0.35785953]	[-0.33621606]
[0.36454849]	[-0.39011408]
[0.37123746]	[-0.43341854]
